,公司中文名称,评级日期,评级类型,信用评级,评级展望,评级机构代码,债券主体公司id,信用评级说明,前次信用评级,评级变动方向,评级对象类型代码,公告日期
2351,上虞经济开发区投资开发有限公司,2017-06-26,1,AA,"518,003,000",19,744122211,偿还债务的能力很强，受不利经济环境影响大，违约风险很低,AA,维持,"536,001,001",2017-06-28
2352,摩根士丹利华鑫证券有限责任公司,2015-07-17,5,A,0,15,AM63faiL6I,公司风险管理能力、市场竞争力、培育和发展机构投资者状况、持续合规状况的综合评价在行业内最高，能够较好控制业务风险,BB,调高,"536,002,000",2017-07-31
2353,南京高精传动设备制造集团有限公司,2017-07-26,1,AA,"518,003,000",2,4W3A40F51C,受评对象偿还债务的能力很强，受不利经济环境的影响较小，违约风险很低。,AA,维持,"536,001,001",2017-07-27
2354,山东金鲁班集团有限公司,2017-07-07,1,AA,"518,003,000",19,oTZAW2AUHz,偿还债务的能力很强，受不利经济环境影响大，违约风险很低,AA,维持,"536,001,001",2017-07-11
2355,浏阳现代制造产业建设投资开发有限公司,2017-03-28,1,AA,"518,003,000",5,753379203,AA级债属高级债，其还本付息能力很强，基本无风险。,AA,维持,"536,001,001",2017-08-21
2356,金发科技股份有限公司,2017-06-21,1,AA+,"518,003,000",13,1333E22D6B,0,AA+,维持,"536,001,001",2017-06-30
2357,天津渤海国有资产经营管理有限公司,2017-06-29,1,AAA,"518,003,000",5,15D31C,AAA级债为最高级债，其还本付息能力最强。,AAA,维持,"536,001,001",2017-06-29
2358,遵义市投资(集团)有限责任公司,2017-06-22,1,AA+,"518,003,000",5,TRYJYBl0jN,0,AA,调高,"536,001,001",2017-06-23
2359,广西柳工机械股份有限公司,2017-06-23,1,AA+,"518,001,000",13,1000528,0,AA+,维持,"536,001,001",2017-07-27
2360,浙江永利实业集团有限公司,2017-06-25,1,AA,"518,003,000",14,0SR8669773,债务安全性很高，违约风险很低。,AA,维持,"536,001,001",2017-06-29
2361,广东腾越建筑工程有限公司,2017-07-28,1,AA,"518,003,000",2,i0xtkXCHVK,受评对象偿还债务的能力很强，受不利经济环境的影响较小，违约风险很低。,AA,维持,"536,001,001",2017-07-31
2362,阜阳投资发展集团有限公司,2017-08-23,1,AA+,"518,003,000",4,bhlvF50CMP,0,0,首次,"536,001,001",2017-08-25
2363,南洋天融信科技集团股份有限公司,2017-06-26,1,AA,"518,003,000",13,2oO4F49210,受评主体偿还债务的能力很强，受不利经济环境的影响较小，违约风险很低；债券信用质量很高，信用风险很低。,AA,维持,"536,001,001",2017-06-27
2364,江苏如皋农村商业银行股份有限公司,2017-07-27,1,AA-,"518,003,000",6,4JC9CCA79A,0,AA-,维持,"536,001,001",2017-07-28
2365,永煤集团股份有限公司,2017-06-27,1,AA+,"518,003,000",2,PlZW1B8xBd,0,AA+,维持,"536,001,001",2017-06-29
2366,好想你枣业股份有限公司,2017-06-13,1,AA,"518,003,000",14,pmDhxshRDx,债务安全性很高，违约风险很低。,AA,维持,"536,001,001",2017-06-20
2367,岚桥集团有限公司,2017-07-26,1,AA,"518,003,000",6,dtTTNIuBAi,偿还债务的能力很强，受不利经济环境的影响不大，违约风险很低。,AA,维持,"536,001,001",2017-07-27
2368,沈阳农业高新区国有资产经营有限公司,2017-06-26,1,AA,"518,003,000",2,47R4CCC93B,受评对象偿还债务的能力很强，受不利经济环境的影响较小，违约风险很低。,AA,维持,"536,001,001",2017-06-27
2369,冀中能源国际物流集团有限公司,2017-09-05,1,AA+,"518,003,000",13,EQ4Ulgp7hJ,0,AA+,维持,"536,001,001",2017-09-15
2370,中国航天科技集团公司,2017-06-21,1,AAA,"518,003,000",6,06F894024D,偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低。 ,AAA,维持,"536,001,001",2017-06-22
2371,渤海期货股份有限公司,2016-01-01,4,BBB,0,15,1hR8760809,公司风险管理能力、市场竞争力、培育和发展机构投资者状况、持续合规状况的综合评价在行业内较高，能够控制业务风险,BB,调高,"536,002,000",2016-08-05
2372,绿地控股集团有限公司,2017-06-20,1,AA+,"518,003,000",5,08Q85EA75D,0,AA+,维持,"536,001,001",2017-06-20
2373,齐鲁证券(上海)资产管理有限公司,2017-08-14,5,A,0,15,TTeMcxslr5,公司风险管理能力、市场竞争力、培育和发展机构投资者状况、持续合规状况的综合评价在行业内最高，能够较好控制业务风险,A,维持,"536,002,000",2017-08-14
2374,泰州市交通产业集团有限公司,2017-06-26,1,AA,"518,003,000",5,w8bvh0c1bE,AA级债属高级债，其还本付息能力很强，基本无风险。,AA,维持,"536,001,001",2017-06-27
2375,新疆众和股份有限公司,2017-08-07,1,AA,"518,003,000",2,1600888,受评对象偿还债务的能力很强，受不利经济环境的影响较小，违约风险很低。,AA,维持,"536,001,001",2017-08-10
2376,广汇汽车服务有限责任公司,2017-06-27,1,AA,"518,003,000",4,2AF4E043EB,短期债务的支付能力和长期债务的偿还能力很强；经营处于良性循环状态，不确定因素对经营与发展的影响很小；偿还债务的能力很强，受不利经济环境的影响不大，违约风险很低。,AA,维持,"536,001,001",2017-06-28
2377,哈尔滨市城市建设投资集团有限公司,2017-06-27,1,AA,"518,003,000",2,3IA56A2C6A,受评对象偿还债务的能力很强，受不利经济环境的影响较小，违约风险很低。,AA,维持,"536,001,001",2017-06-28
2378,中合中小企业融资担保股份有限公司,2017-08-15,1,AAA,0,6,dJjAbiHMUh,偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低。 ,AAA,维持,"536,002,001",2017-09-12
2379,石家庄市交通投资开发有限公司,2017-07-25,1,AA,"518,003,000",2,rHZoQnLaBF,受评对象偿还债务的能力很强，受不利经济环境的影响较小，违约风险很低。,AA,维持,"536,001,001",2017-07-25
2380,水发集团有限公司,2017-06-26,1,AA+,"518,003,000",6,a5b2c3d4e2,0,AA+,维持,"536,001,001",2017-06-27
2381,新疆生产建设兵团第十二师国有资产经营(集团)有限责任公司,2017-03-23,1,AA,"518,003,000",2,HFtdJqYlEg,受评对象偿还债务的能力很强，受不利经济环境的影响较小，违约风险很低。,AA,维持,"536,001,001",2017-07-17
2382,浏阳市工业新城建设开发有限公司,2017-06-22,1,AA,"518,003,000",6,685024557,偿还债务的能力很强，受不利经济环境的影响不大，违约风险很低。,AA,维持,"536,001,001",2017-06-26
2383,湖北省联合发展投资集团有限公司,2017-06-27,1,AAA,"518,003,000",2,2AI46CBEA2,受评对象偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低。  ,AAA,维持,"536,001,001",2017-06-28
2384,宜昌兴发集团有限责任公司,2017-06-28,1,AA,"518,003,000",4,502031226,短期债务的支付能力和长期债务的偿还能力很强；经营处于良性循环状态，不确定因素对经营与发展的影响很小；偿还债务的能力很强，受不利经济环境的影响不大，违约风险很低。,AA,维持,"536,001,001",2017-06-30
2385,南京市白下国有资产经营中心,2017-06-26,1,AA,"518,003,000",14,04O47EBE7A,债务安全性很高，违约风险很低。,AA,维持,"536,001,001",2017-06-29
2386,中化化肥有限公司,2017-06-29,1,AAA,"518,003,000",2,1H54F5E13D,受评对象偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低。  ,AAA,维持,"536,001,001",2017-06-30
2387,玉林市城市建设投资有限公司,2017-06-26,1,AA,"518,003,000",6,3rZ3fpXddU,偿还债务的能力很强，受不利经济环境的影响不大，违约风险很低。,AA,维持,"536,001,001",2017-06-28
2388,新疆供销投资(控股)集团有限责任公司,2017-06-28,1,AA,"518,003,000",4,IH9B8Z7l9f,短期债务的支付能力和长期债务的偿还能力很强；经营处于良性循环状态，不确定因素对经营与发展的影响很小；偿还债务的能力很强，受不利经济环境的影响不大，违约风险很低。,AA,维持,"536,001,001",2017-06-30
2389,国机汽车股份有限公司,2017-01-11,1,AA+,"518,003,000",5,1600335,0,0,首次,"536,001,001",2017-07-25
2390,新沂市交通投资有限公司,2017-06-26,1,AA,"518,003,000",13,uNCkcdks1a,受评主体偿还债务的能力很强，受不利经济环境的影响较小，违约风险很低；债券信用质量很高，信用风险很低。,AA,维持,"536,001,001",2017-06-28
2391,广东省粤电集团有限公司,2017-08-18,1,AAA,"518,003,000",2,502032338,受评对象偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低。  ,AAA,维持,"536,001,001",2017-08-22
2392,泉州市国有资产投资经营公司,2017-07-21,1,AA+,"518,003,000",2,156102433,0,AA+,维持,"536,001,001",2017-07-21
2393,重庆市渝兴建设投资有限公司,2017-06-26,1,AA,"518,003,000",2,NeT2u9UlPb,受评对象偿还债务的能力很强，受不利经济环境的影响较小，违约风险很低。,AA,维持,"536,001,001",2017-06-26
2394,兴证证券资产管理有限公司,2016-07-15,5,BBB,0,15,GYqV7QyRGV,公司风险管理能力、市场竞争力、培育和发展机构投资者状况、持续合规状况的综合评价在行业内较高，能够控制业务风险,AA,调低,"536,002,000",2017-07-31
2395,山西省经济建设投资集团有限公司,2017-06-28,1,AA,"518,003,000",4,2015969,短期债务的支付能力和长期债务的偿还能力很强；经营处于良性循环状态，不确定因素对经营与发展的影响很小；偿还债务的能力很强，受不利经济环境的影响不大，违约风险很低。,AA,维持,"536,001,001",2017-07-03
2396,中铝宁夏能源集团有限公司,2017-07-21,1,AA,"518,003,000",5,16B5A4DDF5,AA级债属高级债，其还本付息能力很强，基本无风险。,AA,维持,"536,001,001",2017-07-31
2397,申能(集团)有限公司,2017-07-28,1,AAA,"518,003,000",2,2007915,受评对象偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低。  ,AAA,维持,"536,001,001",2017-07-31
2398,山西煤炭进出口集团有限公司,2017-06-27,1,AA,"518,003,000",5,0PD69F911A,AA级债属高级债，其还本付息能力很强，基本无风险。,AA,维持,"536,001,001",2017-06-28
2399,淄博淄川农村商业银行股份有限公司,2017-08-03,1,A+,0,5,Y0VKCuxPAG,0,0,首次,"536,001,001",2017-08-03
2400,北京首都旅游集团有限责任公司,2017-07-24,1,AAA,"518,003,000",7,602213,偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低,AAA,维持,"536,001,001",2017-08-02
2401,乌鲁木齐国有资产经营(集团)有限公司,2017-06-28,1,AA,"518,003,000",2,601864,受评对象偿还债务的能力很强，受不利经济环境的影响较小，违约风险很低。,AA,维持,"536,001,001",2017-06-29
2402,山西天然气有限公司,2017-01-18,1,AA+,"518,003,000",13,D850DGuLom,0,AA+,维持,"536,001,001",2017-06-27
2403,锦州华信资产经营(集团)有限公司,2017-07-25,1,AA,"518,003,000",2,cEmnAKrAuv,受评对象偿还债务的能力很强，受不利经济环境的影响较小，违约风险很低。,AA,维持,"536,001,001",2017-07-26
2404,南通国有资产投资控股有限公司,2017-06-23,1,AA+,"518,003,000",13,3IC9DA6BC6,0,AA+,维持,"536,001,001",2017-06-27
2405,邳州市润城资产经营集团有限公司,2017-06-25,1,AA,"518,003,000",14,8E9MOLqiUr,债务安全性很高，违约风险很低。,AA,维持,"536,001,001",2017-06-27
2406,宝钢集团新疆八一钢铁有限公司,2017-07-28,1,A+,0,2,2N74E50D41,0,AA-,调低,"536,001,001",2017-07-31
2407,江苏金灌投资发展集团有限公司,2017-06-26,1,AA,"518,003,000",2,nU1Eo5oub8,受评对象偿还债务的能力很强，受不利经济环境的影响较小，违约风险很低。,AA,维持,"536,001,001",2017-06-27
2408,吉林经济技术开发区经济技术开发总公司,2017-06-28,1,AA,"518,003,000",6,151C60,偿还债务的能力很强，受不利经济环境的影响不大，违约风险很低。,AA,维持,"536,001,001",2017-06-29
2409,岳阳市城市建设投资有限公司,2017-06-20,1,AA+,"518,003,000",6,3IT9CE6E72,0,AA+,维持,"536,001,001",2017-06-22
2410,深圳深业物流集团股份有限公司,2017-06-27,1,AA+,"518,003,000",7,502042065,0,AA+,维持,"536,001,001",2017-07-04
2411,洲际油气股份有限公司,2017-06-27,1,AA-,"518,003,000",7,1600759,0,AA-,维持,"536,001,001",2017-06-28
2412,兴业银行股份有限公司,2017-07-27,1,AAA,"518,003,000",5,2013708,AAA级债为最高级债，其还本付息能力最强。,AAA,维持,"536,001,001",2017-07-27
2413,北京市丰台区国有资本经营管理中心,2017-07-25,1,AA+,"518,003,000",6,dqtrqSaqj5,0,AA+,维持,"536,001,001",2017-07-26
2414,吉林省交通投资集团有限公司,2017-07-28,1,AA+,"518,002,000",2,Vz1t4XTtDu,0,AA+,维持,"536,001,001",2017-07-31
2415,国泰君安证券股份有限公司,2017-05-19,1,AAA,0,4,2024680,短期债务的支付能力和长期债务的偿还能力具有最大保障；经营处于良性循环状态，不确定因素对经营与发展的影响最小；偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低。,AAA,维持,"536,001,001",2017-07-05
2416,淮北市建投控股集团有限公司,2017-06-26,1,AA,"518,003,000",4,4W7801E366,短期债务的支付能力和长期债务的偿还能力很强；经营处于良性循环状态，不确定因素对经营与发展的影响很小；偿还债务的能力很强，受不利经济环境的影响不大，违约风险很低。,AA,维持,"536,001,001",2017-07-04
2417,六盘水市开发投资有限公司,2017-06-20,1,AA,"518,003,000",19,ejZLZ8vMmw,偿还债务的能力很强，受不利经济环境影响大，违约风险很低,AA,维持,"536,001,001",2017-06-22
2418,三花控股集团有限公司,2017-07-12,1,AA+,"518,003,000",2,0g988FD4CE,0,AA+,维持,"536,001,001",2017-07-12
2419,邯郸市建设投资公司,2017-06-25,1,AA+,"518,003,000",14,105559951,0,AA+,维持,"536,001,001",2017-06-29
2420,国脉科技股份有限公司,2017-06-20,1,AA,"518,003,000",14,0SA93779F7,债务安全性很高，违约风险很低。,AA,维持,"536,001,001",2017-06-21
2421,五凌电力有限公司,2017-06-30,1,AA+,"518,003,000",5,0P86332FF4,0,AA+,维持,"536,001,001",2017-06-30
2422,浙江万马股份有限公司,2017-06-27,1,AA,"518,003,000",7,3A150D5467,偿还债务的能力很强，受不利经济环境的影响不大，违约风险很低,AA,维持,"536,001,001",2017-06-28
2423,华英证券有限责任公司,2013-07-12,5,BB,0,15,bprtw72P7B,公司风险管理能力、市场竞争力、培育和发展机构投资者状况、持续合规状况的综合评价在行业内较高，能够控制业务风险,BBB,调低,"536,002,000",2017-07-31
2424,营口经济技术开发区城市开发建设投资有限公司,2017-06-23,1,AA,"518,003,000",6,1sr6P0JQEc,偿还债务的能力很强，受不利经济环境的影响不大，违约风险很低。,AA,维持,"536,001,001",2017-06-27
2425,河源市润业投资有限公司,2017-06-23,1,AA,"518,003,000",5,q56xCPlTjh,AA级债属高级债，其还本付息能力很强，基本无风险。,AA,维持,"536,001,001",2017-06-26
2426,深圳市宝鹰建设控股集团股份有限公司,2017-06-30,1,AA,"518,003,000",13,0SM3B0F100,受评主体偿还债务的能力很强，受不利经济环境的影响较小，违约风险很低；债券信用质量很高，信用风险很低。,AA,维持,"536,001,001",2017-07-10
2427,华映科技(集团)股份有限公司,2017-06-21,1,AA,"518,003,000",2,1000536,受评对象偿还债务的能力很强，受不利经济环境的影响较小，违约风险很低。,AA,维持,"536,001,001",2017-06-21
2428,中国中药控股有限公司,2017-07-25,1,AAA,"518,003,000",2,08R9CC9E6D,受评对象偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低。  ,AAA,维持,"536,001,001",2017-07-26
2429,恒泰长财证券有限责任公司,2015-07-17,5,A,0,15,502039711,公司风险管理能力、市场竞争力、培育和发展机构投资者状况、持续合规状况的综合评价在行业内最高，能够较好控制业务风险,BBB,调高,"536,002,000",2017-07-31
2430,新华联控股有限公司,2017-06-19,1,AA+,"518,003,000",6,16VD5B9B45,0,AA+,维持,"536,001,001",2017-06-22
2431,珠海联邦制药股份有限公司,2017-06-27,1,AA,"518,003,000",13,QVaRMwLsZu,受评主体偿还债务的能力很强，受不利经济环境的影响较小，违约风险很低；债券信用质量很高，信用风险很低。,AA,维持,"536,001,001",2017-06-28
2432,泉州市泉港石化工业区建设发展有限公司,2017-06-26,1,AA-,"518,003,000",2,tOKmlM1dKO,0,AA-,维持,"536,001,001",2017-06-27
2433,嘉兴市高等级公路投资有限公司,2017-05-19,1,AA+,"518,003,000",5,502045547,0,AA+,维持,"536,001,001",2017-08-14
2434,国投安信期货有限公司,2016-01-01,4,AA,0,15,4WG4FD592E,公司风险管理能力、市场竞争力、培育和发展机构投资者状况、持续合规状况的综合评价在行业内最高，能够较好控制业务风险,AA,维持,"536,002,000",2016-08-05
2435,江苏宏图高科技股份有限公司,2017-08-17,1,AA,"518,003,000",2,1600122,受评对象偿还债务的能力很强，受不利经济环境的影响较小，违约风险很低。,AA,维持,"536,001,001",2017-08-18
2436,新疆前海集团有限责任公司,2017-07-27,1,AA,"518,003,000",2,0lccDfWUHx,受评对象偿还债务的能力很强，受不利经济环境的影响较小，违约风险很低。,AA,维持,"536,001,001",2017-07-27
2437,济宁市市中区城建投资有限公司,2017-06-27,1,AA,"518,003,000",5,668050649,AA级债属高级债，其还本付息能力很强，基本无风险。,AA,维持,"536,001,001",2017-06-27
2438,武汉国有资产经营有限公司,2017-07-28,1,AA+,"518,003,000",2,2011458,0,AA+,维持,"536,001,001",2017-07-28
2439,潍柴控股集团有限公司,2017-06-28,1,AAA,"518,003,000",5,2qL484B11C,AAA级债为最高级债，其还本付息能力最强。,AAA,维持,"536,001,001",2017-06-29
2440,山东郓城农村商业银行股份有限公司,2017-07-28,1,AA-,"518,003,000",2,CEqSTENE28,0,AA-,维持,"536,001,001",2017-07-31
2441,无锡市惠山经济发展总公司,2017-08-23,1,AA+,"518,003,000",5,GdcorJPEuy,0,AA+,维持,"536,001,001",2017-09-14
2442,昆明经济技术开发区投资开发(集团)有限公司,2017-06-22,1,AA,"518,003,000",5,FpV0T49i7v,AA级债属高级债，其还本付息能力很强，基本无风险。,AA,维持,"536,001,001",2017-06-22
2443,中国铁路总公司,2017-07-07,1,AAA,"518,003,000",2,2002209,受评对象偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低。  ,AAA,维持,"536,001,001",2017-07-11
2444,广东东菱凯琴集团有限公司,2017-08-28,1,AA,"518,003,000",2,2AF4DF0641,受评对象偿还债务的能力很强，受不利经济环境的影响较小，违约风险很低。,AA,维持,"536,001,001",2017-08-29
2445,民生证券股份有限公司,2016-10-25,1,AA+,"518,003,000",7,2002105,0,AA+,维持,"536,001,001",2017-06-23
2446,江苏南通三建集团股份有限公司,2017-07-27,1,AA+,"518,003,000",19,2AF46CAA25,0,0,首次,"536,002,002",2017-07-28
2447,岳阳惠临投资发展有限公司,2017-06-22,1,AA,"518,003,000",14,X2DtRiwnaH,债务安全性很高，违约风险很低。,AA,维持,"536,001,001",2017-06-28
2448,厦门金圆投资集团有限公司,2017-06-27,1,AAA,"518,003,000",7,1NfhKNnhyS,偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低,AAA,维持,"536,001,001",2017-06-28
2449,长春燃气股份有限公司,2017-07-28,1,AA,"518,003,000",2,1600333,受评对象偿还债务的能力很强，受不利经济环境的影响较小，违约风险很低。,AA,维持,"536,001,001",2017-07-31
2450,重庆迈瑞城市建设投资有限责任公司,2017-06-23,1,AA+,"518,003,000",13,zfvRH1hLeU,0,AA+,维持,"536,001,001",2017-07-21
2451,遵义市新区开发投资有限责任公司,2017-06-21,1,AA,"518,003,000",6,688430323,偿还债务的能力很强，受不利经济环境的影响不大，违约风险很低。,AA,维持,"536,001,001",2017-06-27
2452,中国兵工物资集团有限公司,2017-05-25,1,AA+,"518,003,000",5,2008147,0,AA+,维持,"536,001,001",2017-07-11
2453,建湖县城市建设投资有限公司,2017-06-29,1,AA,"518,003,000",4,ZUunnLgCeJ,短期债务的支付能力和长期债务的偿还能力很强；经营处于良性循环状态，不确定因素对经营与发展的影响很小；偿还债务的能力很强，受不利经济环境的影响不大，违约风险很低。,AA,维持,"536,001,001",2017-06-30
2454,上海外高桥资产管理有限公司,2017-07-27,1,AAA,"518,003,000",4,2021929,短期债务的支付能力和长期债务的偿还能力具有最大保障；经营处于良性循环状态，不确定因素对经营与发展的影响最小；偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低。,AAA,维持,"536,001,001",2017-07-31
2455,深圳市百业源投资有限公司,2017-08-16,1,AA+,"518,003,000",5,502032447,0,AA+,维持,"536,001,001",2017-08-18
2456,安徽九华山旅游(集团)有限公司,2017-06-27,1,AA,"518,003,000",4,F452AA42,短期债务的支付能力和长期债务的偿还能力很强；经营处于良性循环状态，不确定因素对经营与发展的影响很小；偿还债务的能力很强，受不利经济环境的影响不大，违约风险很低。,AA,维持,"536,001,001",2017-06-28
2457,海宁市城市发展投资集团有限公司,2017-06-26,1,AA+,"518,003,000",5,SEl7Hm7T22,0,AA,调高,"536,001,001",2017-06-26
2458,宁乡县城市建设投资集团有限公司,2017-06-26,1,AA,"518,003,000",19,8APQYOCydS,偿还债务的能力很强，受不利经济环境影响大，违约风险很低,AA,维持,"536,001,001",2017-06-28
2459,山西省国新能源发展集团有限公司,2017-08-10,1,AA,"518,003,000",4,0SD56CDF80,短期债务的支付能力和长期债务的偿还能力很强；经营处于良性循环状态，不确定因素对经营与发展的影响很小；偿还债务的能力很强，受不利经济环境的影响不大，违约风险很低。,AA,维持,"536,001,001",2017-08-11
2460,陕西龙门钢铁(集团)有限责任公司,2017-06-26,1,A+,"518,003,000",19,Sr0L8e7CBi,0,0,首次,"536,002,001",2017-06-27
2461,太仓市城市建设投资集团有限公司,2017-08-14,1,AA+,"518,003,000",2,ALSNTs6pCX,0,AA+,维持,"536,001,001",2017-08-25
2462,资兴市成诚投资有限公司,2017-07-24,1,AA,"518,003,000",2,TtzIr7EDwl,受评对象偿还债务的能力很强，受不利经济环境的影响较小，违约风险很低。,AA,维持,"536,001,001",2017-08-01
2463,潍坊滨海投资发展有限公司,2017-07-26,1,AA,"518,003,000",4,SHtSPOAr7K,短期债务的支付能力和长期债务的偿还能力很强；经营处于良性循环状态，不确定因素对经营与发展的影响很小；偿还债务的能力很强，受不利经济环境的影响不大，违约风险很低。,AA,维持,"536,001,001",2017-07-27
2464,上海永达投资控股集团有限公司,2017-06-16,1,AA,"518,003,000",4,q8IbGZij1K,短期债务的支付能力和长期债务的偿还能力很强；经营处于良性循环状态，不确定因素对经营与发展的影响很小；偿还债务的能力很强，受不利经济环境的影响不大，违约风险很低。,AA,维持,"536,001,001",2017-06-20
2465,淮安红日交通投资发展总公司,2017-08-14,1,AA,"518,003,000",14,tTv17gkyy6,债务安全性很高，违约风险很低。,AA,维持,"536,001,001",2017-08-15
2466,绍兴县交通投资有限公司,2017-06-28,1,AA,"518,003,000",14,a0eKQojkce,债务安全性很高，违约风险很低。,AA,维持,"536,001,001",2017-07-03
2467,秦皇岛开发区国有资产经营有限公司,2017-06-27,1,AA-,"518,003,000",6,9SHbaQoUpb,0,AA-,维持,"536,001,001",2017-06-28
2468,广东粤合资产经营有限公司,2017-07-28,1,AA-,"518,003,000",4,bxhHDLzyfi,0,AA-,维持,"536,001,001",2017-08-01
2469,浙江乐清农村商业银行股份有限公司,2017-07-18,1,AA,"518,003,000",2,1AC4DBE0A0,受评对象偿还债务的能力很强，受不利经济环境的影响较小，违约风险很低。,AA-,调高,"536,001,001",2017-07-18
2470,平安国际融资租赁有限公司,2017-09-01,1,AAA,"518,003,000",13,EGD8Ntrw7N,受评主体偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低；债券信用质量极高，信用风险极低。,AAA,维持,"536,001,001",2017-09-11
2471,广东粤财投资控股有限公司,2017-08-14,1,AAA,"518,003,000",13,16M1B227AB,受评主体偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低；债券信用质量极高，信用风险极低。,0,首次,"536,001,001",2017-09-07
2472,长沙开福城市建设投资有限公司,2017-06-26,1,AA,"518,003,000",4,11C010,短期债务的支付能力和长期债务的偿还能力很强；经营处于良性循环状态，不确定因素对经营与发展的影响很小；偿还债务的能力很强，受不利经济环境的影响不大，违约风险很低。,AA,维持,"536,001,001",2017-06-27
2473,奥克斯集团有限公司,2017-08-29,1,AA+,"518,003,000",6,4886199BA9,0,AA+,维持,"536,001,001",2017-09-08
2474,吉林省信用担保投资集团有限公司,2017-06-22,1,AA,"518,003,000",6,FfgWwg7Hlr,偿还债务的能力很强，受不利经济环境的影响不大，违约风险很低。,AA,维持,"536,001,001",2017-07-05
2475,中银国际期货有限责任公司,2016-01-01,4,BBB,0,15,15720C,公司风险管理能力、市场竞争力、培育和发展机构投资者状况、持续合规状况的综合评价在行业内较高，能够控制业务风险,BBB,维持,"536,002,000",2016-08-05
2476,淄博博山农村商业银行股份有限公司,2017-07-24,1,A+,0,5,dFm2w1a0Yf,0,0,首次,"536,001,001",2017-07-24
2477,宁乡经济技术开发区建设投资有限公司,2017-07-25,1,AA,"518,003,000",6,ubtbHYdTBN,偿还债务的能力很强，受不利经济环境的影响不大，违约风险很低。,AA,维持,"536,001,001",2017-07-26
2478,佳源创盛控股集团有限公司,2017-06-22,1,AA,"518,003,000",7,0IazT6Akgv,偿还债务的能力很强，受不利经济环境的影响不大，违约风险很低,AA,维持,"536,001,001",2017-06-23
2479,西南水泥有限公司,2017-03-15,1,AA+,"518,003,000",5,TgLnaw06h4,0,AA+,维持,"536,001,001",2017-06-28
2480,安阳投资集团有限公司,2017-09-19,1,AA,"518,003,000",6,CZSjZVSbjB,偿还债务的能力很强，受不利经济环境的影响不大，违约风险很低。,AA,维持,"536,001,001",2017-09-19
2481,防城港市港工基础设施建设开发投资有限责任公司,2017-06-21,1,AA,"518,003,000",5,EdzS99E1cr,AA级债属高级债，其还本付息能力很强，基本无风险。,AA,维持,"536,001,001",2017-06-22
2482,浙江南都电源动力股份有限公司,2017-08-04,1,AA,"518,003,000",7,2AF62CBCB0,偿还债务的能力很强，受不利经济环境的影响不大，违约风险很低,AA,维持,"536,001,001",2017-09-12
2483,杭州市城市建设发展有限公司,2017-07-25,1,AA+,"518,003,000",5,0PH433F374,0,AA+,维持,"536,001,001",2017-08-03
2484,郑州城建集团投资有限公司,2017-06-15,1,AA+,"518,003,000",14,86xkGzbHIU,0,AA+,维持,"536,001,001",2017-06-21
2485,株洲新芦淞产业发展集团有限公司,2017-08-01,1,AA,"518,003,000",14,hoknx6dRJ3,债务安全性很高，违约风险很低。,AA,维持,"536,001,001",2017-08-02
2486,江苏苏通大桥有限责任公司,2017-07-25,1,AA+,"518,003,000",2,56yaJ11eYj,0,AA+,维持,"536,001,001",2017-07-26
2487,陕西黄河矿业(集团)有限责任公司,2017-06-27,1,AA,"518,003,000",7,BaVL8wLZbs,偿还债务的能力很强，受不利经济环境的影响不大，违约风险很低,AA,维持,"536,001,001",2017-06-29
2488,郑州城建集团投资有限公司,2017-06-15,1,AA+,"518,003,000",5,86xkGzbHIU,0,AA+,维持,"536,001,001",2017-06-21
2489,湖南慈利农村商业银行股份有限公司,2017-07-12,1,A,0,5,138C59C,A级债还本付息能力较强，尽管其还本付息能力易受内外部不确定因素不良变化的影响，但风险较低。,0,首次,"536,001,001",2017-07-12
2490,无锡市新发集团有限公司,2017-06-22,1,AA+,"518,003,000",2,06O4E1BB3A,0,AA+,维持,"536,001,001",2017-06-23
2491,哈尔滨水务投资集团有限公司,2017-06-26,1,AA+,"518,003,000",14,PH3Oc8hhId,0,AA+,维持,"536,001,001",2017-06-28
2492,洛阳银行股份有限公司,2017-07-18,1,AA+,"518,003,000",2,0486BB5003,0,AA+,维持,"536,001,001",2017-07-18
2493,浙江国兴投资有限公司,2017-06-29,1,AA,"518,003,000",4,0PGA3C1EDD,短期债务的支付能力和长期债务的偿还能力很强；经营处于良性循环状态，不确定因素对经营与发展的影响很小；偿还债务的能力很强，受不利经济环境的影响不大，违约风险很低。,AA,维持,"536,001,001",2017-06-30
2494,鹤壁市经济建设投资集团有限公司,2017-06-23,1,AA,"518,003,000",14,F6570,债务安全性很高，违约风险很低。,AA,维持,"536,001,001",2017-06-26
